t:      z:         z':
0.889   0.247151   -0.998905
0.89   0.246152   -0.998616
0.891   0.245154   -0.998326
0.892   0.244156   -0.998033
0.893   0.243158   -0.997737
0.894   0.24216   -0.997438
0.895   0.241163   -0.997138
0.896   0.240166   -0.996834
0.897   0.239169   -0.996528
0.898   0.238173   -0.996219
0.899   0.237177   -0.995908
0.9   0.236181   -0.995594
0.901   0.235186   -0.995278
0.902   0.234191   -0.994959
0.903   0.233196   -0.994637
0.904   0.232201   -0.994313
0.905   0.231207   -0.993986
0.906   0.230213   -0.993657
0.907   0.22922   -0.993325
0.908   0.228227   -0.992991
0.909   0.227234   -0.992653
0.91   0.226241   -0.992314
0.911   0.225249   -0.991972
0.912   0.224257   -0.991627
0.913   0.223266   -0.991279
0.914   0.222275   -0.990929
0.915   0.221284   -0.990577
0.916   0.220294   -0.990222
0.917   0.219304   -0.989864
0.918   0.218314   -0.989503
0.919   0.217325   -0.989141
0.92   0.216336   -0.988775
0.921   0.215347   -0.988407
0.922   0.214359   -0.988036
0.923   0.213371   -0.987663
0.924   0.212384   -0.987287
0.925   0.211396   -0.986908
0.926   0.21041   -0.986527
0.927   0.209423   -0.986144
0.928   0.208437   -0.985757
0.929   0.207452   -0.985369
0.93   0.206467   -0.984977
